provnum,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating
55748,1,1,3,3,2
55750,4,2,5,4,4
55753,2,1,3,4,4
55755,3,2,5,3,3
55756,5,3,5,4,4
55758,2,1,5,1,1
55760,5,4,5,4,3
55761,5,4,5,3,3
55764,4,3,5,3,4
55775,3,2,2,4,3
55776,4,3,3,4,3
55795,5,4,5,3,3
55797,4,3,5,3,2
55798,5,3,5,4,4
55799,5,5,5,3,4
55800,5,3,5,5,5
55806,5,3,5,5,5
55807,2,1,4,5,5
55809,5,4,5,5,5
55816,4,3,5,3,3
55817,5,4,5,4,3
55818,4,3,5,3,2
55826,2,1,3,4,3
55830,2,1,5,4,4
55833,5,4,5,3,3
55839,5,5,3,3,3
55845,1,1,2,3,3
55846,5,5,5,4,4
55848,3,3,4,3,3
55849,5,5,5,3,2
55850,2,1,5,4,4
55853,3,2,4,4,5
55854,1,1,4,3,4
55855,2,1,4,4,4
55856,2,2,3,2,1
55858,4,4,4,3,3
55861,1,1,2,3,1
55862,2,2,2,3,3
55866,5,4,5,4,4
55869,1,1,2,,
55870,2,1,5,4,4
55871,4,4,4,2,2
55872,5,5,5,4,4
55873,4,4,4,4,4
55874,5,5,5,3,3
55876,2,1,2,4,3
55884,5,3,5,4,4
55885,4,3,5,2,3
55886,5,3,5,4,4
55887,2,1,2,4,3
55888,4,3,5,3,3
55890,3,2,5,3,4
55892,5,4,5,4,3
55894,5,3,5,5,5
55899,1,1,3,3,2
55906,4,3,5,3,3
55910,5,5,5,4,4
55914,3,2,5,3,4
55916,1,1,4,3,2
55917,3,3,4,3,2
55918,4,3,5,2,3
55919,5,3,5,5,5
55922,5,4,5,4,4
55929,4,2,5,4,4
55932,1,1,3,3,2
55935,5,5,4,3,3
55952,2,1,5,4,4
55954,5,3,5,4,4
55955,5,5,5,3,3
55956,4,3,3,4,5
55957,2,2,3,3,3
55959,5,4,5,3,3
55960,4,2,5,4,4
55962,2,2,3,3,3
55963,3,2,5,3,3
55964,5,4,5,3,4
55968,3,2,5,3,4
55975,5,4,5,3,1
55977,2,1,5,2,2
55979,5,4,5,4,3
55983,5,3,5,4,5
55984,3,2,5,3,3
55987,4,2,5,4,4
55988,4,4,4,3,3
55989,4,3,5,3,4
55991,5,4,5,5,5
55992,4,3,4,4,3
55995,3,2,5,3,2
55996,5,5,3,3,4
56007,3,2,5,3,2
56008,5,3,5,4,3
56010,2,1,5,4,3
56014,5,4,5,4,4
56017,4,3,5,3,4
56019,2,1,5,3,3
56021,4,3,2,5,5
56023,2,2,3,3,2
56024,2,1,5,4,4
56026,5,4,5,3,2
56031,4,2,5,4,4
56035,1,1,4,2,2
56037,4,3,5,3,3
56039,2,1,5,4,4
56040,4,3,5,3,2
56042,4,3,5,2,2
56043,1,1,1,3,3
56048,5,5,5,4,5
56052,2,2,4,3,3
56053,4,4,4,3,2
56055,4,4,3,3,4
56056,2,1,5,3,2
56058,5,3,5,4,4
56062,2,1,5,4,3
56063,3,2,5,2,1
56065,2,1,5,3,3
56066,3,2,5,3,3
56069,2,2,4,2,2
56071,5,4,5,5,5
56072,5,3,5,4,4
56073,4,3,3,4,4
56074,1,1,2,3,3
56076,5,3,5,4,4
56077,5,4,5,5,5
56078,2,1,5,4,3
56079,2,1,5,3,2
56080,1,1,4,3,2
56082,1,1,3,3,2
56083,4,3,5,3,2
56084,1,1,4,3,2
56086,2,1,4,4,4
56090,2,1,5,5,5
56092,4,2,5,4,4
56095,4,2,5,4,3
56096,4,4,2,4,4
56098,5,3,5,5,5
56100,5,5,5,1,2
56101,5,5,5,4,4
56103,5,4,5,5,5
56104,5,3,5,4,4
56105,4,2,5,4,4
56107,5,5,5,4,3
56109,5,5,5,5,5
56110,2,1,5,4,4
56111,2,1,5,1,2
56113,3,2,5,3,3
56114,3,3,2,3,2
56115,4,3,5,3,3
56116,5,4,5,4,5
56117,1,1,1,1,1
56118,2,2,1,4,4
56120,3,2,5,3,3
56121,3,3,3,3,3
56122,4,2,5,4,4
56123,4,3,,5,5
